year,month_num,month,total,granted,granted_pct,denied,denied_pct,source,source_detail
2021,10,October,586,54,9.2,532,90.8,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2021,11,November,507,70,13.8,437,86.2,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2021,12,December,444,58,13.1,386,86.9,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2022,1,January,462,67,14.5,395,85.5,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2022,2,February,439,49,11.2,390,88.8,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2022,3,March,505,69,13.7,436,86.3,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2022,4,April,445,41,9.2,404,90.8,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2022,5,May,386,49,12.7,337,87.3,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2022,6,June,455,46,10.1,409,89.9,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2022,7,July,439,51,11.6,388,88.4,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2022,8,August,395,50,12.7,345,87.3,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2022,9,September,277,38,13.7,239,86.3,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2022,10,October,303,42,13.9,261,86.1,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2022,11,November,321,39,12.1,282,87.9,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2022,12,December,254,51,20.1,203,79.9,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2023,1,January,290,41,14.1,249,85.9,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2023,2,February,233,42,18.0,191,82.0,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2023,3,March,236,33,14.0,203,86.0,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2023,4,April,305,27,8.9,278,91.1,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2023,5,May,356,39,11.0,317,89.0,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2023,6,June,279,45,16.1,234,83.9,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2023,7,July,235,31,13.2,204,86.8,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2023,8,August,224,26,11.6,198,88.4,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2023,9,September,153,26,17.0,127,83.0,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2023,10,October,216,49,22.7,167,77.3,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2023,11,November,220,33,15.0,187,85.0,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2023,12,December,186,42,22.6,144,77.4,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2024,1,January,242,35,14.5,207,85.5,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2024,2,February,262,45,17.2,217,82.8,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2024,3,March,217,31,14.3,186,85.7,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2024,4,April,341,40,11.7,301,88.3,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2024,5,May,282,46,16.3,236,83.7,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2024,6,June,276,38,13.8,238,86.2,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2024,7,July,315,38,12.1,277,87.9,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2024,8,August,285,55,19.3,230,80.7,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2024,9,September,205,33,16.1,172,83.9,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2024,10,October,278,39,14.0,239,86.0,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2024,11,November,205,39,19.0,166,81.0,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2024,12,December,251,46,18.3,205,81.7,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2025,1,January,285,35,12.3,250,87.7,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2025,2,February,212,36,17.0,176,83.0,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2025,3,March,224,25,11.2,199,88.8,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2025,4,April,276,24,8.7,252,91.3,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2025,5,May,205,30,14.6,175,85.4,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2025,6,June,227,36,15.9,191,84.1,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2025,7,July,257,36,14.0,221,86.0,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2025,8,August,203,25,12.3,178,87.7,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2025,9,September,172,23,13.4,149,86.6,"U.S. Sentencing Commission, Compassionate Release Data Report, Fiscal Year 2025",table 1 (motions by month of court decision)
2025,10,October,192,22,11.5,170,88.5,"U.S. Sentencing Commission, Compassionate Release Data Report, 2nd Quarter FY2026",table 1 (motions by month of court decision)
2025,11,November,125,17,13.6,108,86.4,"U.S. Sentencing Commission, Compassionate Release Data Report, 2nd Quarter FY2026",table 1 (motions by month of court decision)
2025,12,December,157,19,12.1,138,87.9,"U.S. Sentencing Commission, Compassionate Release Data Report, 2nd Quarter FY2026",table 1 (motions by month of court decision)
2026,1,January,141,20,14.2,121,85.8,"U.S. Sentencing Commission, Compassionate Release Data Report, 2nd Quarter FY2026",table 1 (motions by month of court decision)
2026,2,February,139,24,17.3,115,82.7,"U.S. Sentencing Commission, Compassionate Release Data Report, 2nd Quarter FY2026",table 1 (motions by month of court decision)
2026,3,March,140,23,16.4,117,83.6,"U.S. Sentencing Commission, Compassionate Release Data Report, 2nd Quarter FY2026",table 1 (motions by month of court decision)
