outcome,reason,theme,n,pct,source,source_detail
Granted,Rehabilitation,Conduct and rehabilitation,73,16.0,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Serious physical or medical condition,Medical,57,12.5,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Unusually long sentence and change in law,Sentence and law change,56,12.3,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Not recorded,Unspecified,38,8.3,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Multiple section 924(c) penalties,Sentence and law change,34,7.4,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Other mandatory minimum or long sentence,Sentence and law change,26,5.7,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Terminal illness,Medical,25,5.5,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Family circumstances: care for parent,Family,18,3.9,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Family circumstances: care for minor or disabled child,Family,15,3.3,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Young age at time of offense,Sentence and law change,13,2.8,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Section 851 enhanced drug penalties,Sentence and law change,12,2.6,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Career offender issues,Sentence and law change,11,2.4,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Deteriorating health due to aging,Medical,10,2.2,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Age 65 with deteriorating health and time served,Medical,9,2.0,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Prison failure to provide treatment,Medical,8,1.8,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Family circumstances: care for other immediate family,Family,8,1.8,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Extraordinary and compelling (unspecified),Unspecified,6,1.3,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Serious functional or cognitive impairment,Medical,3,0.7,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,COVID-19 or pandemic,Medical,3,0.7,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Nearly meets the policy statement,Unspecified,3,0.7,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Family circumstances: care for spouse or partner,Family,2,0.4,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Armed Career Criminal Act issues,Sentence and law change,2,0.4,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Abuse by a corrections officer or contractor,Other,2,0.4,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Granted,Other,Other,23,5.0,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 10 (457 reasons cited across 299 granted cases)"
Denied,Section 3553(a) sentencing factors,Discretionary weighing,926,25.0,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 11 (3,703 reasons cited across 1,766 denied cases)"
Denied,No extraordinary and compelling reason provided,Threshold not met,407,11.0,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 11 (3,703 reasons cited across 1,766 denied cases)"
Denied,Rehabilitation insufficient,Discretionary weighing,371,10.0,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 11 (3,703 reasons cited across 1,766 denied cases)"
Denied,Failure to exhaust administrative remedies,Procedural,325,8.8,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 11 (3,703 reasons cited across 1,766 denied cases)"
Denied,Insufficient proof of serious medical condition,Medical proof,263,7.1,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 11 (3,703 reasons cited across 1,766 denied cases)"
Denied,Able to provide self-care in prison,Medical proof,177,4.8,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 11 (3,703 reasons cited across 1,766 denied cases)"
Denied,Not at risk from COVID-19 or pandemic,Medical proof,157,4.2,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 11 (3,703 reasons cited across 1,766 denied cases)"
Denied,Protection of the public,Discretionary weighing,115,3.1,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 11 (3,703 reasons cited across 1,766 denied cases)"
Denied,Other care available for minor child,Family,101,2.7,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 11 (3,703 reasons cited across 1,766 denied cases)"
Denied,Does not meet age or time-served requirement,Threshold not met,81,2.2,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 11 (3,703 reasons cited across 1,766 denied cases)"
Denied,Post-sentencing conduct,Discretionary weighing,40,1.1,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 11 (3,703 reasons cited across 1,766 denied cases)"
Denied,Mandatory minimum penalty,Threshold not met,31,0.8,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 11 (3,703 reasons cited across 1,766 denied cases)"
Denied,Insufficient proof of deteriorating health,Medical proof,29,0.8,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 11 (3,703 reasons cited across 1,766 denied cases)"
Denied,No reason recorded,Unspecified,24,0.6,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 11 (3,703 reasons cited across 1,766 denied cases)"
Denied,Other care available for spouse or partner,Family,16,0.4,"U.S. Sentencing Commission, Compassionate Release Data Report, 3rd Quarter FY2025","table 11 (3,703 reasons cited across 1,766 denied cases)"
