jurisdiction,abbr,statute_label,citation,status,granted_by,basis,age_specified,terminal_time,ineligibility,pre_post_medical,risk_language,source,source_detail
Alabama,AL,Medical Furlough,Ala. Code secs. 14-14-1 to 14-14-7,Compassionate release,Commissioner,Age; Chronic; Terminal,55,Not specified,Sex; Murder; Death/life,History; Med care,risk for violence,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 220"
Alaska,AK,Special Medical Parole,AK Stat. sec. 33.16.085,Compassionate release,Parole Board,Chronic; MH,,,Sex; Sentence,None specified,likelihood of ... committing the same or similar offense is low,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 220"
Arizona,AZ,Order for Removal,"AZ Title 31, Chapter 2, Article 2, sec. 31-233",Temporary release only,Director,Cost,,,None specified,None specified,None specified,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 220"
Arkansas,AR,,AR Code sec. 12-29-404,Compassionate release,Parole Board,Chronic; Terminal,,2 years,Sex,None specified,no longer a threat to public safety,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 220"
California,CA,Medical parole,Penal Code Section 3550,Compassionate release,Parole Board,Chronic,,,Death/life,History,would not reasonably pose a threat to public safety,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 220"
California,CA,Compassionate Release,Government Code if Counties 26605.6,Compassionate release,"Sheriff, or designee",Terminal,,6 months or less,None specified,None specified,would not reasonably pose a threat to public safety,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 220"
Colorado,CO,Special Needs Parole,Colo. Rev. Stat. secs. 17-22.5-403.5; 17-1-102,Compassionate release,Parole Board,Age; Chronic; Terminal; MH; Cost,60,Not specified,Time,None specified,not likely to pose a risk to public safety,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 220"
Connecticut,CT,Medical Parole; Compassionate Release,Conn. Gen. Stat. secs. 54-131a to 54-131k,Compassionate release,Parole and Pardons Board,Age; Chronic; Terminal; MH,Not specified,Not specified,Death/life; Sentence; Time,None specified,physically incapable of presenting a danger to society,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 220"
Delaware,DE,Eligibility for Parole,DE Code Chapter 11 sec. 4346,Compassionate release,Parole Board,Chronic; MH; Cost,,,None specified,Med care,None specified,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 220"
District of Columbia,DC,Medical Parole,D.C. Code sec. 24-464,Compassionate release,Parole Board,Chronic; Terminal,,Not specified,None specified,None specified,not incompatible with the welfare of society,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 220"
District of Columbia,DC,Conditions for Geriatric Release,D.C. Code sec. 24-465,Compassionate release,Parole Board,Age; Chronic,65,,None specified,None specified,None specified,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 220"
Florida,FL,Conditional Medical Release,FL. Stat. Ann. sec. 947.149(1),Compassionate release,Commissioner,Chronic; Terminal,,Not specified,Death/life,None specified,not constitute a danger to herself or himself or other,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 220"
Georgia,GA,Medical Reprieve,O.C.G.A. sec. 42.9.43(b),Compassionate release,Parole Board,Chronic; Terminal; MH,,12 months,None specified,None specified,an extremely low risk of physical threat to others or to the community,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 220"
Hawaii,HI,Medical Release,Cor.10.1G.11 (policy and procedure manual for Corrections Administration),Compassionate release,"Dept. of Public Safety, Corrections Administration",Chronic; Terminal; MH; Cost,,Not specified,None specified,None specified,None specified,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 220"
Idaho,ID,Medical Parole,ID Code sec. 20-223,Compassionate release,Commissioner,Chronic; Terminal,,Not specified,Death/life,None specified,reasonably believes the prisoner no longer poses a threat to the safety of society,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 221"
Illinois,IL,None,,None,,,,,,,,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 221"
Indiana,IN,Special Medical Clemency,220 IAC 1.1-4-1.5 (Administrative Code),Compassionate release,Commissioner,Chronic; Cost,,,Death/life,None specified,engaging in any future serious criminal activity,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 221"
Iowa,IA,None,,None,,,,,,,,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 221"
Kansas,KS,Terminal Medical Release,22-3729,Compassionate release,Parole Board,Terminal,,30 days,Sentence,None specified,precludes the person from posing a threat to the public,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 221"
Kentucky,KY,Parole of Prisoners with Documented Medical Condition,KY Rev Stat sec. 439.3405,Compassionate release,Parole Board,Terminal,,1 year,Sentence,None specified,would not pose a threat to society if paroled,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 221"
Louisiana,LA,Medical Parole,La. Rev. Stat. Ann. sec. 15:574.20,Compassionate release,Parole Board,Chronic; Terminal,,less than 1 year,Death/life,None specified,represents a low risk to himself or society,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 221"
Louisiana,LA,General Parole Eligibility,La. Rev. Stat. Ann. sec. 15:574.4,Compassionate release,Parole Board,Age,"45; 60, depends on sentence",,Murder; Time,None specified,obtained low-risk scores,"Wylie, Knutson, and Greene (2018), Psychology, Public Policy, and Law 24(2), 216-234","table 1, p. 221"
