age,score_bin,n
14,2,11
14,2.5,48
14,3,82
14,3.5,51
14,4,11
15,2,33
15,2.5,159
15,3,259
15,3.5,168
15,4,43
16,2,53
16,2.5,271
16,3,536
16,3.5,392
16,4,117
17,2,55
17,2.5,392
17,3,827
17,3.5,606
17,4,214
18,2,46
18,2.5,381
18,3,869
18,3.5,638
18,4,287
19,2,32
19,2.5,285
19,3,691
19,3.5,544
19,4,313
20,2,28
20,2.5,169
20,3,542
20,3.5,463
20,4,281
21,2,19
21,2.5,118
21,3,382
21,3.5,351
21,4,184
22,2,11
22,2.5,86
22,3,298
22,3.5,260
22,4,164
23,2.5,53
23,3,154
23,3.5,146
23,4,86
24,3,34
24,3.5,40
24,4,20
