age,score_bin,n
14,2,10
14,2.5,54
14,3,61
14,3.5,60
14,4,19
15,1.5,11
15,2,33
15,2.5,136
15,3,234
15,3.5,180
15,4,72
16,2,59
16,2.5,230
16,3,464
16,3.5,409
16,4,207
17,2,60
17,2.5,322
17,3,761
17,3.5,576
17,4,373
18,2,63
18,2.5,326
18,3,753
18,3.5,631
18,4,445
19,2,45
19,2.5,219
19,3,629
19,3.5,532
19,4,435
20,2,22
20,2.5,155
20,3,494
20,3.5,409
20,4,399
21,2,19
21,2.5,99
21,3,339
21,3.5,328
21,4,267
22,2,14
22,2.5,71
22,3,264
22,3.5,246
22,4,222
23,2.5,45
23,3,134
23,3.5,136
23,4,119
24,3,26
24,3.5,31
24,4,33
