age,score_bin,n
14,2,27
14,2.5,76
14,3,53
14,3.5,35
15,1.5,20
15,2,76
15,2.5,246
15,3,188
15,3.5,125
15,4,10
16,1.5,31
16,2,158
16,2.5,425
16,3,447
16,3.5,287
16,4,27
17,1.5,34
17,2,208
17,2.5,623
17,3,700
17,3.5,491
17,4,47
18,1.5,25
18,2,183
18,2.5,647
18,3,724
18,3.5,564
18,4,83
19,1.5,23
19,2,122
19,2.5,457
19,3,660
19,3.5,541
19,4,66
20,1.5,11
20,2,88
20,2.5,299
20,3,515
20,3.5,495
20,4,78
21,2,54
21,2.5,206
21,3,391
21,3.5,327
21,4,69
22,2,45
22,2.5,166
22,3,273
22,3.5,274
22,4,61
23,2,21
23,2.5,83
23,3,161
23,3.5,142
23,4,32
24,2.5,16
24,3,39
24,3.5,35
