measure,age,n,mean,sd
consideration,14,205,3.548,0.883
consideration,15,669,3.431,0.864
consideration,16,1379,3.447,0.888
consideration,17,2112,3.55,0.83
consideration,18,2233,3.6,0.83
consideration,19,1878,3.657,0.811
consideration,20,1486,3.736,0.811
consideration,21,1063,3.754,0.812
consideration,22,820,3.822,0.75
consideration,23,444,3.821,0.776
consideration,24,100,3.945,0.664
future_outlook,14,204,2.369,0.495
future_outlook,15,668,2.339,0.569
future_outlook,16,1378,2.45,0.577
future_outlook,17,2104,2.521,0.563
future_outlook,18,2228,2.581,0.572
future_outlook,19,1873,2.638,0.559
future_outlook,20,1484,2.677,0.553
future_outlook,21,1055,2.683,0.563
future_outlook,22,820,2.708,0.545
future_outlook,23,441,2.712,0.514
future_outlook,24,100,2.811,0.522
impulse_control,14,205,2.93,0.953
impulse_control,15,669,3.04,0.916
impulse_control,16,1379,3.056,0.963
impulse_control,17,2112,3.114,0.964
impulse_control,18,2233,3.158,0.96
impulse_control,19,1878,3.206,0.969
impulse_control,20,1486,3.276,0.97
impulse_control,21,1063,3.277,0.978
impulse_control,22,820,3.331,0.946
impulse_control,23,444,3.324,0.971
impulse_control,24,100,3.566,0.935
temperance,14,205,2.864,0.858
temperance,15,669,2.964,0.828
temperance,16,1379,2.961,0.856
temperance,17,2112,2.997,0.855
temperance,18,2233,3.036,0.86
temperance,19,1878,3.102,0.851
temperance,20,1486,3.168,0.854
temperance,21,1063,3.184,0.859
temperance,22,820,3.239,0.834
temperance,23,444,3.227,0.86
temperance,24,100,3.393,0.816
