wave,months_since_baseline,emerging_adult,n,n_wave,share
wave_01,0,18–25,112,1354,0.0827
wave_01,0,Under 18,1242,1354,0.9173
wave_02,6,18–25,314,1354,0.2319
wave_02,6,Under 18,1040,1354,0.7681
wave_03,12,18–25,536,1354,0.3959
wave_03,12,Under 18,818,1354,0.6041
wave_04,18,18–25,719,1354,0.531
wave_04,18,Under 18,635,1354,0.469
wave_05,24,18–25,938,1354,0.6928
wave_05,24,Under 18,416,1354,0.3072
wave_06,30,18–25,1061,1354,0.7836
wave_06,30,Under 18,293,1354,0.2164
wave_07,36,18–25,1196,1354,0.8833
wave_07,36,Under 18,158,1354,0.1167
wave_08,48,18–25,1354,1354,1
wave_09,60,18–25,1354,1354,1
wave_10,72,18–25,1354,1354,1
wave_11,84,18–25,1353,1354,0.9993
