sex,age,n,mean,sd
Female,14,22,2.925,0.537
Female,15,95,2.983,0.519
Female,16,200,3.121,0.492
Female,17,301,3.162,0.506
Female,18,303,3.186,0.478
Female,19,271,3.222,0.486
Female,20,203,3.241,0.494
Female,21,156,3.267,0.479
Female,22,120,3.271,0.485
Female,23,63,3.369,0.434
Male,14,182,3.021,0.455
Male,15,573,3.011,0.469
Male,16,1178,3.06,0.472
Male,17,1803,3.1,0.458
Male,18,1925,3.141,0.465
Male,19,1602,3.19,0.477
Male,20,1283,3.25,0.457
Male,21,901,3.244,0.46
Male,22,700,3.274,0.448
Male,23,378,3.273,0.432
Male,24,95,3.35,0.395
