"id","citations","cite_note","openalex_id","openalex_cited","openalex_fetched"
"BOOK2025",,"","W4412162262",0,"2026-07-17"
"AGEPRIS2023",,"","",,""
"ANNREV2021",,"","W3205791415",2,"2026-07-17"
"ENDLIFE2021",,"","W3164830889",3,"2026-07-17"
"CONFID2018",16,"","W2236830082",7,"2026-07-17"
"COMPREL2018",35,"","W2789705002",16,"2026-07-17"
"PATRON2015",,"","",,""
"ORB2015",31,"","W1976849859",12,"2026-07-17"
"ELDERS2015",,"","",,""
"MISINFO2014",100,"","",,""
"CAREGIV2014",26,"","W2159125333",14,"2026-07-17"
"ELDMAL2012",19,"","W3137320953",10,"2026-07-17"
"EMYOUTH2023",,"","W4361005412",2,"2026-07-17"
"EMERGING2022",,"","",,""
"DEADLY2022",,"","W4225935508",2,"2026-07-17"
"VICTIM2021",,"","W3207456021",6,"2026-07-17"
"SURGERY2021",,"","W3162400928",3,"2026-07-17"
"DRUGTEST2021",,"","W4231592099",0,"2026-07-17"
"RNR2019",33,"","W2955498841",16,"2026-07-17"
"VICTREC2018",60,"","W2899471773",26,"2026-07-17"
"ABSENT2018",25,"","W2894464920",14,"2026-07-17"
"CPV2018",98,"","W2810407218",55,"2026-07-17"
"CPVCHAP2018",,"","",,""
"MAILSURV2015",,"","W8863296",0,"2026-07-17"
"WEAPONS2010",28,"","W2030477259",16,"2026-07-17"
"STORY2025",,"","",,""
"LHB402018",22,"","W2790258777",10,"2026-07-17"
"OBESITY2017",13,"","W2569963340",4,"2026-07-17"
"DISCUSS2013",25,"","",,""
"EPICRIM2022",,"","W4309855371",0,"2026-07-17"
"LAWWELL2016",34,"","W2358297164",9,"2026-07-17"
"DUKE2015",159,"two Scholar records merged (130 + 29)","W2195395761",56,"2026-07-17"
"PARAPH2014",18,"","W2323990165",10,"2026-07-17"
"VOICEID2013",28,"","",,""
"WHISTLE2011",31,"","W2214195522",13,"2026-07-17"
"JELS2009",22,"","W1492454786",10,"2026-07-17"
